type,name,res_id,src,value,fuzzy
error,account.account,0,You can not create recursive accounts!,,0
error,account.account,0,You can not delete accounts containing move lines!,,0
error,account.account,0,You can not delete accounts that have children!,U kunt geen rekeningen verwijderen die subrekeningen hebben!,0
error,account.account.deferral,0,Deferral must be unique by account and fiscal year,,0
error,account.account.deferral,0,You can not modify Account Deferral records,,0
error,account.account.open_aged_balance,0,Warning,,0
error,account.account.open_aged_balance,0,You cannot define overlapping terms,,0
error,account.account.template,0,You can not create recursive accounts!,,0
error,account.fiscalyear,0,No fiscal year defined for this date!,,0
error,account.fiscalyear,0,"The balance of the account ""%s"" must be zero!",,0
error,account.fiscalyear,0,You can not change the post move sequence,,0
error,account.fiscalyear,0,You can not close a fiscal year until there is older fiscal year opened!,,0
error,account.fiscalyear,0,You can not have 2 fiscal years that overlaps!,Overlappende fiscale jaren zijn niet toegestaan!,0
error,account.fiscalyear,0,You can not reopen a fiscal year until there is more recent fiscal year closed!,,0
error,account.fiscalyear,0,You must have different post move sequence per fiscal year!,,0
error,account.journal.period,0,You can not create a journal - period on a closed period!,,0
error,account.journal.period,0,You can not modify/delete a journal - period with moves!,,0
error,account.journal.period,0,You can not open a journal - period from a closed period!,,0
error,account.journal.period,0,You can only open one journal per period!,,0
error,account.journal.type,0,The code must be unique!,,0
error,account.move,0,"You can not create lines on accounts
of different companies in the same move!",,0
error,account.move,0,"You can not create more than one move per period
in a centralized journal!",,0
error,account.move,0,You can not create move with a date outside the period!,,0
error,account.move,0,You can not delete posted moves!,,0
error,account.move,0,You can not modify a posted move in this journal!,,0
error,account.move,0,You can not post an empty move!,,0
error,account.move,0,You can not post an unbalanced move!,,0
error,account.move.line,0,"Line ""%s"" (%d) already reconciled!","Regel ""%s"" (%d) al afgeletterd",0
error,account.move.line,0,No journal defined!,,0
error,account.move.line,0,Wrong credit/debit values!,,0
error,account.move.line,0,You can not add/modify lines in a closed journal period!,,0
error,account.move.line,0,"You can not create move lines
on view/inactive accounts!",,0
error,account.move.line,0,You can not modify lines of a posted move!,,0
error,account.move.line,0,You can not modify reconciled lines!,,0
error,account.move.reconciliation,0,"You can not create reconciliation where lines are not balanced, nor valid, nor in the same account, nor in account to reconcile, nor from the same party!",,0
error,account.move.reconciliation,0,You can not modify a reconciliation!,U kunt een aflettering niet veranderen!,0
error,account.period,0,No period defined for this date!,,0
error,account.period,0,The period dates must be in the fiscal year dates,,0
error,account.period,0,You can not change the post move sequence if there is already posted moves in the period,,0
error,account.period,0,You can not close a period with non posted moves!,,0
error,account.period,0,You can not create a period on a closed fiscal year!,,0
error,account.period,0,You can not have two overlapping periods!,,0
error,account.period,0,You can not modify/delete a period with moves!,,0
error,account.period,0,You can not open a period from a closed fiscal year!,,0
error,account.period,0,You must have different post move sequences per fiscal year and in the same company!,,0
error,account.tax.code,0,You can not create recursive tax codes!,,0
error,account.tax.code.template,0,You can not create recursive tax codes!,,0
field,"account.account-account.tax,account",0,Account,,0
field,"account.account-account.tax,rec_name",0,Name,Naam,1
field,"account.account-account.tax,tax",0,Tax,,0
field,"account.account,active",0,Active,,0
field,"account.account,balance",0,Balance,,0
field,"account.account,childs",0,Children,,0
field,"account.account,code",0,Code,Code,1
field,"account.account,company",0,Company,Bedrijf,0
field,"account.account.create_chart_account.account,account_template",0,Account Template,,0
field,"account.account.create_chart_account.account,company",0,Company,Bedrijf,0
field,"account.account.create_chart_account.properties,account_payable",0,Default Payable Account,,0
field,"account.account.create_chart_account.properties,account_receivable",0,Default Receivable Account,,0
field,"account.account.create_chart_account.properties,company",0,Company,Bedrijf,0
field,"account.account,credit",0,Credit,Credit,0
field,"account.account,currency",0,Currency,,0
field,"account.account,currency_digits",0,Currency Digits,,0
field,"account.account,debit",0,Debit,Debit,0
field,"account.account,deferral",0,Deferral,,0
field,"account.account.deferral,account",0,Account,,0
field,"account.account.deferral,credit",0,Credit,Credit,1
field,"account.account.deferral,currency_digits",0,Currency Digits,,0
field,"account.account.deferral,debit",0,Debit,Debit,1
field,"account.account.deferral,fiscalyear",0,Fiscal Year,,0
field,"account.account.deferral,rec_name",0,Name,Naam,1
field,"account.account,deferrals",0,Deferrals,,0
field,"account.account,kind",0,Kind,Soort,1
field,"account.account,left",0,Left,Links,1
field,"account.account,name",0,Name,Naam,1
field,"account.account,note",0,Note,,0
field,"account.account.open_aged_balance.init,balance_type",0,Type,,0
field,"account.account.open_aged_balance.init,company",0,Company,Bedrijf,0
field,"account.account.open_aged_balance.init,fiscalyear",0,Fiscal Year,,0
field,"account.account.open_aged_balance.init,posted",0,Posted Move,,0
field,"account.account.open_aged_balance.init,term1",0,First Term,,0
field,"account.account.open_aged_balance.init,term2",0,Second Term,,0
field,"account.account.open_aged_balance.init,term3",0,Third Term,,0
field,"account.account.open_aged_balance.init,unit",0,Unit,,0
field,"account.account.open_balance_sheet.init,company",0,Company,Bedrijf,0
field,"account.account.open_balance_sheet.init,date",0,Date,Datum,1
field,"account.account.open_balance_sheet.init,posted",0,Posted Move,,0
field,"account.account.open_chart_account.init,fiscalyear",0,Fiscal Year,,0
field,"account.account.open_chart_account.init,posted",0,Posted Move,,0
field,"account.account.open_income_statement.init,company",0,Company,Bedrijf,0
field,"account.account.open_income_statement.init,end_period",0,End Period,Eindperiode,0
field,"account.account.open_income_statement.init,fiscalyear",0,Fiscal Year,,0
field,"account.account.open_income_statement.init,posted",0,Posted Move,,0
field,"account.account.open_income_statement.init,start_period",0,Start Period,,0
field,"account.account.open_third_party_balance.init,company",0,Company,Bedrijf,0
field,"account.account.open_third_party_balance.init,fiscalyear",0,Fiscal Year,,0
field,"account.account.open_third_party_balance.init,posted",0,Posted Move,,0
field,"account.account,parent",0,Parent,Bovenliggend,1
field,"account.account.print_general_ledger.init,company",0,Company,Bedrijf,0
field,"account.account.print_general_ledger.init,empty_account",0,Empty Account,,0
field,"account.account.print_general_ledger.init,end_period",0,End Period,Eindperiode,1
field,"account.account.print_general_ledger.init,fiscalyear",0,Fiscal Year,,0
field,"account.account.print_general_ledger.init,posted",0,Posted Move,,0
field,"account.account.print_general_ledger.init,start_period",0,Start Period,,0
field,"account.account.print_trial_balance.init,company",0,Company,Bedrijf,0
field,"account.account.print_trial_balance.init,empty_account",0,Empty Account,,0
field,"account.account.print_trial_balance.init,end_period",0,End Period,Eindperiode,1
field,"account.account.print_trial_balance.init,fiscalyear",0,Fiscal Year,,0
field,"account.account.print_trial_balance.init,posted",0,Posted Move,,0
field,"account.account.print_trial_balance.init,start_period",0,Start Period,,0
field,"account.account,rec_name",0,Name,Naam,1
field,"account.account,reconcile",0,Reconcile,Afletteren,0
field,"account.account,right",0,Right,,0
field,"account.account,second_currency",0,Secondary currency,,0
field,"account.account,taxes",0,Default Taxes,Standaard Belastingen,0
field,"account.account,template",0,Template,,0
field,"account.account.template-account.tax.template,account",0,Account Template,,0
field,"account.account.template-account.tax.template,rec_name",0,Name,Naam,1
field,"account.account.template-account.tax.template,tax",0,Tax Template,Belastingtemplate,1
field,"account.account.template,childs",0,Children,,0
field,"account.account.template,code",0,Code,Code,1
field,"account.account.template,deferral",0,Deferral,,0
field,"account.account.template,kind",0,Kind,Soort,1
field,"account.account.template,name",0,Name,Naam,1
field,"account.account.template,parent",0,Parent,Bovenliggend,1
field,"account.account.template,rec_name",0,Name,Naam,1
field,"account.account.template,reconcile",0,Reconcile,Afletteren,1
field,"account.account.template,taxes",0,Default Taxes,Standaard Belastingen,1
field,"account.account.template,type",0,Type,,0
field,"account.account,type",0,Type,,0
field,"account.account.type,amount",0,Amount,,0
field,"account.account.type,balance_sheet",0,Balance Sheet,Balans,1
field,"account.account.type,childs",0,Children,,0
field,"account.account.type,company",0,Company,Bedrijf,0
field,"account.account.type,currency_digits",0,Currency Digits,,0
field,"account.account.type,display_balance",0,Display Balance,,0
field,"account.account.type,income_statement",0,Income Statement,,0
field,"account.account.type,name",0,Name,Naam,1
field,"account.account.type,parent",0,Parent,Bovenliggend,1
field,"account.account.type,rec_name",0,Name,Naam,1
field,"account.account.type,sequence",0,Sequence,Volgnummer,1
field,"account.account.type,template",0,Template,,0
field,"account.account.type.template,balance_sheet",0,Balance Sheet,Balans,1
field,"account.account.type.template,childs",0,Children,,0
field,"account.account.type.template,display_balance",0,Display Balance,,0
field,"account.account.type.template,income_statement",0,Income Statement,,0
field,"account.account.type.template,name",0,Name,Naam,1
field,"account.account.type.template,parent",0,Parent,Bovenliggend,1
field,"account.account.type.template,rec_name",0,Name,Naam,1
field,"account.account.type.template,sequence",0,Sequence,Volgnummer,1
field,"account.account.update_chart_account.init,account",0,Root Account,,0
field,"account.fiscalyear-account.move.line,fiscalyear",0,Fiscal Year,,0
field,"account.fiscalyear-account.move.line,line",0,Line,Regel,0
field,"account.fiscalyear-account.move.line,rec_name",0,Name,Naam,1
field,"account.fiscalyear.close_fiscalyear.init,close_fiscalyear",0,Fiscal Year to close,,0
field,"account.fiscalyear,close_lines",0,Close Lines,,0
field,"account.fiscalyear,code",0,Code,Code,1
field,"account.fiscalyear,company",0,Company,Bedrijf,0
